Entity Name,Entity ID,Security Name,Security ID,Does the company meet your screening criteria?,ESG Risk Score
1&1 AG,1264207944,,1264207944,Yes,23.08
"1-800-FLOWERS.COM, Inc.",1007902331,,1007902331,Yes,23.61
"10X Genomics, Inc.",2000259050,,2000259050,Yes,22.56
11 Bit Studios SA,2002992103,,2002992103,Yes,16.27
"1Life Healthcare, Inc.",2000165824,,2000165824,Yes,22.82
1st Source Corp.,1008054650,,1008054650,Yes,29.09
"1stdibs.com, Inc.",2001638549,,2001638549,Yes,26.70
"22nd Century Group, Inc.",1032256453,,1032256453,Yes,35.44
23andMe Holding Co.,2008929454,,2008929454,Yes,21.38
29metals Ltd.,2008918361,,2008918361,Yes,41.22
2i Rete Gas SpA,1008505575,,1008505575,Yes,25.17
"2seventy Bio, Inc.",2008843597,,2008843597,Yes,35.87
"2U, Inc.",1068292762,,1068292762,Yes,26.81
360 One Wam Ltd.,2003131745,,2003131745,Yes,33.35
"360 Security Technology, Inc.",2005880516,,2005880516,Yes,22.11
361 Degrees International Ltd.,1068063178,,1068063178,Yes,18.82
37 Interactive Entertainment Network Technology Group Co. Ltd.,2003048318,,2003048318,Yes,14.27
"374Water, Inc.",2008859624,,2008859624,N/A,No data
"3D Medicines, Inc.",2008970208,,2008970208,N/A,No data
3D Systems Corp.,1008186648,,1008186648,Yes,22.98
3i Group Plc,1007896757,,1007896757,Yes,10.35
3M Co.,1008167440,,1008167440,Yes,40.46
3M India Ltd.,1008759597,,1008759597,Yes,20.73
"3peak, Inc.",2004717995,,2004717995,N/A,No data
3R Petroleum Óleo e Gás SA,2008351136,,2008351136,Yes,56.71
"3SBio, Inc.",1032042837,,1032042837,Yes,26.54
407 East Development Group GP,1192017069,,1192017069,Yes,44.02
"407 International, Inc.",1010942174,,1010942174,Yes,10.18
"4D Molecular Therapeutics, Inc.",2004093055,,2004093055,Yes,27.37
4imprint Group Plc,1008755591,,1008755591,Yes,17.15
501(c) Agencies Trust,2001004704,,2001004704,Yes,35.06
"5E Advanced Materials, Inc.",2009457756,,2009457756,Yes,41.95
5I5J Holding Group Co. Ltd.,2000735067,,2000735067,Yes,14.87
7-Eleven Malaysia Holdings Bhd.,1030278754,,1030278754,Yes,24.56
"7-Eleven, Inc.",2000041478,,2000041478,Yes,35.47
888 Holdings Plc,1031527945,,1031527945,Yes,19.00
"89bio, Inc.",2006582265,,2006582265,N/A,No data
"8x8, Inc.",1008241202,,1008241202,Yes,29.91
"908 Devices, Inc.",2000257099,,2000257099,Yes,36.82
"91APP, Inc.",2008402331,,2008402331,Yes,25.80
"A-Living Smart City Services Co., Ltd.",2005425952,,2005425952,Yes,9.32
"A-Mark Precious Metals, Inc.",1012436728,,1012436728,Yes,30.26
A. O. Smith Corp.,1008875357,,1008875357,Yes,26.63
A.G. BARR Plc,1013445980,,1013445980,Yes,24.07
a.k.a. Brands Holding Corp.,2009114208,,2009114208,N/A,Research in progress
A.P. Møller-Mærsk A/S,1008753664,,1008753664,Yes,17.65
A1 Towers Holding GmbH,2011736028,,2011736028,N/A,No data
"A10 Networks, Inc.",1032612598,,1032612598,Yes,20.50
A2A SpA,1008761780,,1008761780,Yes,21.30
A2Dominion Housing Group Ltd.,1048667065,,1048667065,Yes,16.61
AA Bond Co. Ltd.,1249581523,,1249581523,Yes,17.46
AA Ltd.,1274641471,,1274641471,Yes,17.46
"AAC Technologies Holdings, Inc.",1031124645,,1031124645,Yes,17.20
"AAC Technologies Holdings, Inc. (Hong Kong)",2004980356,,2004980356,Yes,17.20
"Aadi Bioscience, Inc.",2009125237,,2009125237,Yes,26.40
AAK AB,1008002075,,1008002075,Yes,26.71
Aalberts NV,1008759982,,1008759982,Yes,23.15
Aamal Co. QSC,1047271657,,1047271657,Yes,39.37
"AAON, Inc.",1008198746,,1008198746,Yes,22.83
AAR Corp.,1008046400,,1008046400,Yes,34.03
Aareal Bank AG,1008754176,,1008754176,Yes,18.72
Aarti Drugs Ltd.,2000099229,,2000099229,Yes,34.92
AARTI Industries Ltd.,1017332931,,1017332931,Yes,23.00
Aavas Financiers Ltd.,2004425338,,2004425338,Yes,26.16
AB Dynamics Plc,1246151833,,1246151833,Yes,17.93
AB Science SA,1069957172,,1069957172,Yes,33.84
ABA Chemicals Corp.,2003245285,,2003245285,N/A,No data
Abacus Group,1015535930,,1015535930,Yes,13.39
Abacus Storage King,2013583816,,2013583816,N/A,No data
Abalance Corp.,2001092564,,2001092564,N/A,No data
ABANCA Corporación Bancaria SA,1149191911,,1149191911,Yes,19.63
"ABB Finance (USA), Inc.",1214119145,,1214119145,Yes,15.40
ABB Finance BV,1107726746,,1107726746,Yes,15.40
ABB India Ltd.,1008756766,,1008756766,Yes,20.71
ABB Ltd.,1007896773,,1007896773,Yes,15.40
Abbott Ireland Financing DAC,2006365832,,2006365832,Yes,25.22
Abbott Laboratories,1008125729,,1008125729,Yes,25.22
"AbbVie, Inc.",1149763952,,1149763952,Yes,26.91
ABC arbitrage SA,1012371551,,1012371551,Yes,30.23
